Resultados del Algoritmo Genético para Catán
==========================================

Parámetros: POPULATION_SIZE=70, CXPB=0.7, MUTPB=0.3, NGEN=200
Tiempo total de ejecución: 8360.68 segundos

Evolución del fitness por generación:
Generación,Fitness Medio,Fitness Máximo
0,0.7553464285714284,0.9999999999999999
1,0.7721334586466164,0.9999999999999999
2,0.7643964285714284,0.9999999999999999
3,0.7799107142857142,0.9999999999999999
4,0.7914571428571426,0.9999999999999999
5,0.7894124999999999,0.9999999999999999
6,0.7900499999999999,0.9999999999999999
7,0.8015964285714285,0.9999999999999999
8,0.8021267857142856,0.9999999999999999
9,0.8040928571428569,0.9999999999999999
10,0.7982696428571427,0.9999999999999999
11,0.7960017857142857,0.9999999999999999
12,0.8013535714285713,0.9999999999999999
13,0.8125714285714285,0.9999999999999999
14,0.7917428571428571,0.9999999999999999
15,0.7947535714285714,0.9999999999999999
16,0.8069749999999999,0.9999999999999999
17,0.8060732142857142,0.9999999999999999
18,0.7929464285714285,0.9999999999999999
19,0.786542857142857,0.9999999999999999
20,0.7933732142857143,0.9999999999999999
21,0.7984446428571427,0.9999999999999999
22,0.7946249999999999,0.9999999999999999
23,0.8015551691729322,0.9999999999999999
24,0.7957696428571428,0.9999999999999999
25,0.7979499999999999,0.9999999999999999
26,0.7970071428571428,0.9999999999999999
27,0.8062035714285715,0.9999999999999999
28,0.8057482142857142,0.9999999999999999
29,0.8040696428571429,0.9999999999999999
30,0.8102374999999999,0.9999999999999999
31,0.8070214285714284,0.9999999999999999
32,0.8041303571428571,0.9999999999999999
33,0.802942857142857,0.9999999999999999
34,0.7907482142857142,0.9999999999999999
35,0.7995642857142856,0.9999999999999999
36,0.7977464285714285,0.9999999999999999
37,0.8026464285714285,0.9999999999999999
38,0.8004214285714285,0.9999999999999999
39,0.8075482142857142,0.9999999999999999
40,0.8010214285714286,0.9999999999999999
41,0.8064696428571427,0.9999999999999999
42,0.7972535714285715,0.9999999999999999
43,0.8001392857142857,0.9999999999999999
44,0.8018749999999999,0.9999999999999999
45,0.7960589285714286,0.9999999999999999
46,0.8025446428571428,0.9999999999999999
47,0.7900785714285714,0.9999999999999999
48,0.8007642857142857,0.9999999999999999
49,0.7955946428571427,0.9999999999999999
50,0.8018388157894736,0.9999999999999999
51,0.8112816729323308,0.9999999999999999
52,0.8004196428571428,0.9999999999999999
53,0.7991232142857143,0.9999999999999999
54,0.8091803571428571,0.9999999999999999
55,0.8114857142857143,0.9999999999999999
56,0.8036160714285714,0.9999999999999999
57,0.8114571428571428,0.9999999999999999
58,0.8095285714285713,0.9999999999999999
59,0.8078482142857143,0.9999999999999999
60,0.8259446428571428,0.9999999999999999
61,0.8072178571428572,0.9999999999999999
62,0.8091160714285713,0.9999999999999999
63,0.8155910714285715,0.9999999999999999
64,0.8045678571428572,0.9999999999999999
65,0.7999392857142857,0.9999999999999999
66,0.8136410714285713,0.9999999999999999
67,0.8056339285714285,0.9999999999999999
68,0.8084749999999999,0.9999999999999999
69,0.8017327067669172,0.9999999999999999
70,0.8022160714285714,0.9999999999999999
71,0.8081624999999999,0.9999999999999999
72,0.80335,0.9999999999999999
73,0.8129749999999999,0.9999999999999999
74,0.8136160714285713,0.9999999999999999
75,0.8128892857142855,0.9999999999999999
76,0.8140714285714286,0.9999999999999999
77,0.8203249999999999,0.9999999999999999
78,0.8224,0.9999999999999999
79,0.8164678571428571,0.9999999999999999
80,0.8104410714285712,0.9999999999999999
81,0.8081357142857142,0.9999999999999999
82,0.812342857142857,0.9999999999999999
83,0.8099696428571428,0.9999999999999999
84,0.8070642857142857,0.9999999999999999
85,0.8053089285714284,0.9999999999999999
86,0.8035357142857142,0.9999999999999999
87,0.8146517857142855,0.9999999999999999
88,0.7980464285714286,0.9999999999999999
89,0.8033214285714285,0.9999999999999999
90,0.8135124999999999,0.9999999999999999
91,0.8106428571428571,0.9999999999999999
92,0.8030714285714284,0.9999999999999999
93,0.8090107142857142,0.9999999999999999
94,0.8073874999999999,0.9999999999999999
95,0.8160749999999999,0.9999999999999999
96,0.8069696428571429,0.9999999999999999
97,0.8142910714285714,0.9999999999999999
98,0.8239160714285713,0.9999999999999999
99,0.8213982142857142,0.9999999999999999
100,0.8193839285714285,0.9999999999999999
101,0.813875,0.9999999999999999
102,0.806,0.9999999999999999
103,0.801125,0.9999999999999999
104,0.8032321428571427,0.9999999999999999
105,0.8067482142857142,0.9999999999999999
106,0.8063267857142857,0.9999999999999999
107,0.8112535714285714,0.9999999999999999
108,0.8091982142857143,0.9999999999999999
109,0.8211499999999999,0.9999999999999999
110,0.8119321428571427,0.9999999999999999
111,0.8046535714285714,0.9999999999999999
112,0.8101746240601503,0.9999999999999999
113,0.8033553571428571,0.9999999999999999
114,0.8121374999999998,0.9999999999999999
115,0.8102821428571428,0.9999999999999999
116,0.8140785714285712,0.9999999999999999
117,0.817475,0.9999999999999999
118,0.807442857142857,0.9999999999999999
119,0.8089334586466165,0.9999999999999999
120,0.8054535714285714,0.9999999999999999
121,0.8045767857142857,0.9999999999999999
122,0.8103982142857141,0.9999999999999999
123,0.8120446428571428,0.9999999999999999
124,0.8087624999999998,0.9999999999999999
125,0.8087339285714285,0.9999999999999999
126,0.8072767857142856,0.9999999999999999
127,0.8136374999999999,0.9999999999999999
128,0.8173714285714285,0.9999999999999999
129,0.8211857142857143,0.9999999999999999
130,0.8292910714285714,0.9999999999999999
131,0.8148607142857143,0.9999999999999999
132,0.8081410714285714,0.9999999999999999
133,0.8239964285714285,0.9999999999999999
134,0.8217982142857142,0.9999999999999999
