Generación,Fitness Medio,Fitness Máximo,Fitness Mínimo,Desviación Estándar
0,0.7553464285714284,0.9999999999999999,0.23225,0.25619969120387154
1,0.7721334586466164,0.9999999999999999,0.25999999999999995,0.2394139928424525
2,0.7643964285714284,0.9999999999999999,0.33849999999999997,0.24616450833907047
3,0.7799107142857142,0.9999999999999999,0.31925,0.23296371014032832
4,0.7914571428571426,0.9999999999999999,0.38125000000000003,0.2187926406254029
5,0.7894124999999999,0.9999999999999999,0.3315,0.22464407349063154
6,0.7900499999999999,0.9999999999999999,0.35375,0.22416139593732773
7,0.8015964285714285,0.9999999999999999,0.381,0.2160584175834708
8,0.8021267857142856,0.9999999999999999,0.36100000000000004,0.2186059045741179
9,0.8040928571428569,0.9999999999999999,0.3862499999999999,0.2129615205493562
10,0.7982696428571427,0.9999999999999999,0.3635,0.21556165232583427
11,0.7960017857142857,0.9999999999999999,0.38425,0.21675756391569903
12,0.8013535714285713,0.9999999999999999,0.34750000000000003,0.2115097789568788
13,0.8125714285714285,0.9999999999999999,0.4109999999999999,0.20293996140157672
14,0.7917428571428571,0.9999999999999999,0.31850000000000006,0.22546958724051486
15,0.7947535714285714,0.9999999999999999,0.3015,0.2216163532390134
16,0.8069749999999999,0.9999999999999999,0.32975000000000004,0.2080638086793156
17,0.8060732142857142,0.9999999999999999,0.33974999999999994,0.21402619894792535
18,0.7929464285714285,0.9999999999999999,0.33624999999999994,0.2191694301091914
19,0.786542857142857,0.9999999999999999,0.388,0.22412450092139702
20,0.7933732142857143,0.9999999999999999,0.25725,0.22018470837090987
21,0.7984446428571427,0.9999999999999999,0.342,0.2184325636941875
22,0.7946249999999999,0.9999999999999999,0.33175,0.21938540675356816
23,0.8015551691729322,0.9999999999999999,0.34400000000000003,0.21390747066748636
24,0.7957696428571428,0.9999999999999999,0.30725,0.2181181181228278
25,0.7979499999999999,0.9999999999999999,0.34500000000000003,0.21730879978566375
26,0.7970071428571428,0.9999999999999999,0.33525,0.21941619158018172
27,0.8062035714285715,0.9999999999999999,0.42174999999999996,0.20624126731667392
28,0.8057482142857142,0.9999999999999999,0.38450000000000006,0.20988578632290142
29,0.8040696428571429,0.9999999999999999,0.4397499999999999,0.2076507650820438
30,0.8102374999999999,0.9999999999999999,0.40125,0.20720315971847875
31,0.8070214285714284,0.9999999999999999,0.3625,0.2099017169792003
32,0.8041303571428571,0.9999999999999999,0.307,0.21208430657712748
33,0.802942857142857,0.9999999999999999,0.38125,0.20943670698971054
34,0.7907482142857142,0.9999999999999999,0.367,0.21985076613878607
35,0.7995642857142856,0.9999999999999999,0.37675,0.20930320703345606
36,0.7977464285714285,0.9999999999999999,0.33699999999999997,0.2177252281827829
37,0.8026464285714285,0.9999999999999999,0.3855,0.2098646225753008
38,0.8004214285714285,0.9999999999999999,0.371,0.2110005037352532
39,0.8075482142857142,0.9999999999999999,0.33325000000000005,0.20529773434929588
40,0.8010214285714286,0.9999999999999999,0.33775,0.21820580366961373
41,0.8064696428571427,0.9999999999999999,0.35025,0.20855609999782074
42,0.7972535714285715,0.9999999999999999,0.40975,0.22021297926608432
43,0.8001392857142857,0.9999999999999999,0.345,0.21909094098323267
44,0.8018749999999999,0.9999999999999999,0.39,0.21296611379512936
45,0.7960589285714286,0.9999999999999999,0.354,0.21713808890294548
46,0.8025446428571428,0.9999999999999999,0.34925,0.21312314152490305
47,0.7900785714285714,0.9999999999999999,0.29800000000000004,0.227406541018413
48,0.8007642857142857,0.9999999999999999,0.36924999999999997,0.21019186976985318
49,0.7955946428571427,0.9999999999999999,0.38025000000000003,0.21543110944738128
50,0.8018388157894736,0.9999999999999999,0.40774999999999995,0.20933291848415211
51,0.8112816729323308,0.9999999999999999,0.42924999999999996,0.20118224006504914
52,0.8004196428571428,0.9999999999999999,0.292,0.21361130267852235
53,0.7991232142857143,0.9999999999999999,0.38049999999999995,0.21514261984044725
54,0.8091803571428571,0.9999999999999999,0.38875,0.2037855141438479
55,0.8114857142857143,0.9999999999999999,0.3417499999999999,0.20702515110192649
56,0.8036160714285714,0.9999999999999999,0.40275,0.20756351956069605
57,0.8114571428571428,0.9999999999999999,0.35874999999999996,0.20338189347096933
58,0.8095285714285713,0.9999999999999999,0.31799999999999995,0.20520988838459103
59,0.8078482142857143,0.9999999999999999,0.33999999999999997,0.2093174040107779
60,0.8259446428571428,0.9999999999999999,0.40975,0.18747675586364873
61,0.8072178571428572,0.9999999999999999,0.3777499999999999,0.2062781427614725
62,0.8091160714285713,0.9999999999999999,0.28674999999999995,0.20988794078778739
63,0.8155910714285715,0.9999999999999999,0.34475,0.20184312820213485
64,0.8045678571428572,0.9999999999999999,0.42124999999999996,0.20815631755549788
65,0.7999392857142857,0.9999999999999999,0.3785,0.21228202238546062
66,0.8136410714285713,0.9999999999999999,0.40149999999999997,0.20012091481222194
67,0.8056339285714285,0.9999999999999999,0.40049999999999997,0.2061014668856664
68,0.8084749999999999,0.9999999999999999,0.39375,0.20330213990336082
69,0.8017327067669172,0.9999999999999999,0.404,0.20885298004495592
70,0.8022160714285714,0.9999999999999999,0.34049999999999997,0.21120662955198438
71,0.8081624999999999,0.9999999999999999,0.4225,0.20341824201146685
72,0.80335,0.9999999999999999,0.39974999999999994,0.2072097664721153
73,0.8129749999999999,0.9999999999999999,0.33999999999999997,0.20111569675722188
74,0.8136160714285713,0.9999999999999999,0.40825000000000006,0.20159174048307354
75,0.8128892857142855,0.9999999999999999,0.39675000000000005,0.2051146201156906
76,0.8140714285714286,0.9999999999999999,0.4317500000000001,0.19668279457968219
77,0.8203249999999999,0.9999999999999999,0.41100000000000003,0.19572828674502527
78,0.8224,0.9999999999999999,0.35224999999999995,0.19391411896949196
79,0.8164678571428571,0.9999999999999999,0.46125,0.199645866927223
80,0.8104410714285712,0.9999999999999999,0.39199999999999996,0.2035603140057947
81,0.8081357142857142,0.9999999999999999,0.36875,0.20678070546610774
82,0.812342857142857,0.9999999999999999,0.39925,0.20682768522988165
83,0.8099696428571428,0.9999999999999999,0.3817499999999999,0.20980288254662383
84,0.8070642857142857,0.9999999999999999,0.42749999999999994,0.20713737757530748
85,0.8053089285714284,0.9999999999999999,0.21224999999999997,0.21079683984381203
86,0.8035357142857142,0.9999999999999999,0.34924999999999995,0.20963883605294278
